Repository Name,Stars,Repository Age,Accepted Pull Requests,Total Releases,Time since last update,Primary Language,Primary Language Number,Closed Issues %
github-readme-stats,58767,1154,840,0,77612,JavaScript,3,0.9109461966604824
ansible,58466,4201,37199,33,75799,Python,2,0.9824766355140186
architect-awesome,58431,1979,49,0,547,none,1,0.3188405797101449
awesome-react,57904,3318,772,0,76568,none,1,0.96875
Front-end-Developer-Interview-Questions,57788,4226,449,0,78590,Nunjucks,21,0.9699248120300752
jquery,57788,5269,640,8,556,JavaScript,3,0.9695632995147773
devops-exercises,57687,1433,244,0,76323,Python,2,0.7681159420289855
33-js-concepts,57525,1828,169,0,4935,JavaScript,3,0.6607142857142857
nocode,57520,2037,1,1,82078,Dockerfile,12,0.13872321625800751
awesome-interview-questions,57241,2839,175,0,80503,none,1,0.8108108108108109
lodash,57113,4169,573,2,78059,JavaScript,3,0.9135772749157438
grafana,56974,3556,34657,381,83702,TypeScript,0,0.8857685009487666
shadowsocks-windows,56930,3887,278,55,77077,C#,11,0.9498607242339833
funNLP,56488,1842,14,0,86354,Python,2,0.7704918032786885
supabase,56329,1425,6025,28,76013,TypeScript,0,0.9086614173228347
echarts,56244,3808,1209,111,94,TypeScript,0,0.8694271194271195
awesome-for-beginners,56081,2873,335,0,77073,none,1,0.8731343283582089
javascript-questions,56009,1547,316,0,79150,none,1,0.9774774774774775
strapi,55850,2898,6800,297,76866,JavaScript,3,0.9589974449446405
awesome-public-datasets,55778,3212,188,1,76909,none,1,0.42342342342342343
HowToCook,55730,1285,470,1,508,Shell,5,0.434640522875817
scikit-learn,55628,4768,11006,34,77025,Python,2,0.8451314648945392
cpython,55557,2398,35956,0,77021,Python,2,0.8928981415407526
Apollo-11,55389,3443,321,0,2643,Assembly,22,0.8381962864721485
yt-dlp,55381,1045,1553,72,75744,Python,2,0.8022499560555458
html5-boilerplate,55206,4972,702,32,80500,JavaScript,3,0.9969488939740656
gatsby,54707,3029,17928,133,81368,JavaScript,3,0.9929723915381857
playwright,54529,1390,11086,111,77997,TypeScript,0,0.9393634534479605
excalidraw,54317,1343,3064,9,75731,TypeScript,0,0.6342007434944238
hoppscotch,54222,1477,1190,26,1617,TypeScript,0,0.8780487804878049
fzf,54164,3605,396,30,77833,Go,10,0.8857142857142857
syncthing,54110,3571,2374,341,76921,Go,10,0.9409038238702202
superset,54059,2968,11171,141,76772,TypeScript,0,0.8722369116869382
element,53644,2559,3229,145,79925,Vue,15,0.8663211254770177
rails,53437,5626,21914,102,86187,Ruby,23,0.9764307729497794
Best-websites-a-programmer-should-visit,52022,2375,375,0,5234,none,1,0.6574074074074074
DeepLearning-500-questions,51465,1897,302,0,4199,JavaScript,3,0.4371584699453552
react-router,50936,3399,1961,255,77379,TypeScript,0,0.9949452401010952
normalize.css,50882,4508,56,0,76612,CSS,16,0.9101796407185628
Semantic-UI,50740,3802,356,154,5554,JavaScript,3,0.8453243199742475
tabby,50339,2448,1414,178,79983,TypeScript,0,0.6565610859728507
requests,50170,4587,1504,8,76940,Python,2,0.9479768786127167
obs-studio,50057,3627,4127,186,76574,C,6,0.8814432989690721
imgui,50054,3334,315,89,77278,C++,4,0.8474006720695789
prometheus,49751,3938,5420,269,82355,Go,10,0.868243893056357
docusaurus,47423,2269,4763,128,80902,TypeScript,0,0.9049723756906077
nuxt,47301,2506,3602,196,85588,TypeScript,0,0.9278770774537473
git,47248,5523,3,0,78316,C,6,0
awesome-android-ui,47240,3178,90,0,81952,none,1,0.8846153846153846
RxJava,47208,3892,3142,232,4015,Java,8,0.9952107279693486
jekyll,47187,5434,3092,107,4037,Ruby,23,0.9815873015873016
anime,46975,2732,72,14,82435,JavaScript,3,0.7259475218658892
faceswap,46933,2087,353,4,2419,Python,2,0.9757575757575757
d2l-zh,46816,2205,1020,16,76621,Python,2,0
v2rayN,46796,1499,102,159,80218,C#,11,0.9504429678848284
guava,48228,3387,374,40,2472,Java,8,0.819118488838008
awesome-scalability,48169,2079,31,0,78678,none,1,0
you-get,48100,4034,570,118,10275,Python,2,0
moment,47530,4572,712,0,79066,JavaScript,3,0.9432571849668386
bulma,47478,2782,605,17,14563,CSS,16,0.917102615694165
openai-cookbook,47444,544,267,0,76684,Jupyter Notebook,7,0.6229508196721312
docusaurus,47423,2269,4763,128,80905,TypeScript,0,0.9049723756906077
nuxt,47301,2506,3602,196,85591,TypeScript,0,0.9278770774537473
awesome-android-ui,47240,3178,90,0,81955,none,1,0.8846153846153846
RxJava,47208,3892,3142,232,4018,Java,8,0.9952107279693486
jekyll,47187,5434,3092,107,4042,Ruby,23,0.9815873015873016
anime,46975,2732,72,14,82440,JavaScript,3,0.7259475218658892
faceswap,46933,2087,353,4,2424,Python,2,0.9757575757575757
d2l-zh,46816,2205,1020,16,76626,Python,2,0
v2rayN,46796,1499,102,159,80223,C#,11,0.9504429678848284
hacker-scripts,46758,2845,63,0,13778,JavaScript,3,0.5064935064935064
rustdesk,46587,1073,1812,11,81833,Rust,13,0.9696119682094436
prettier,46549,2471,7507,104,76003,JavaScript,3,0.8398254404396315
clash,46383,1914,313,55,75898,Go,10,0.9766536964980544
new-pac,46382,2723,0,0,78359,none,1,0.7520661157024794
git,47248,5523,3,0,78324,C,6,0
awesome-android-ui,47240,3178,90,0,81960,none,1,0.8846153846153846
RxJava,47208,3892,3142,232,4023,Java,8,0.9952107279693486
jekyll,47187,5434,3092,107,4045,Ruby,23,0.9815873015873016
anime,46975,2732,72,14,82443,JavaScript,3,0.7259475218658892
faceswap,46933,2087,353,4,2427,Python,2,0.9757575757575757
d2l-zh,46816,2205,1020,16,76629,Python,2,0
v2rayN,46796,1499,102,159,80226,C#,11,0.9504429678848284
hacker-scripts,46758,2845,63,0,13781,JavaScript,3,0.5064935064935064
rustdesk,46587,1073,1812,11,81836,Rust,13,0.9696119682094436
prettier,46549,2471,7507,104,76009,JavaScript,3,0.8398254404396315
clash,46383,1914,313,55,75904,Go,10,0.9766536964980544
new-pac,46382,2723,0,0,78365,none,1,0.7520661157024794
nerd-fonts,46142,3197,358,32,76843,CSS,16,0.9655172413793104
kotlin,45665,4222,2053,208,79025,Kotlin,24,0
tldr,45344,3559,8436,2,81098,Markdown,9,0.8589398023360287
big-list-of-naughty-strings,45149,2950,90,0,23217,Python,2,0.3333333333333333
DefinitelyTyped,45128,3988,47286,1,80473,TypeScript,0,0.9118241536129358
serverless,45126,3060,4469,367,26511,JavaScript,3,0.8342201529763884
cypress,44856,3108,5586,316,78013,JavaScript,3,0.9004768031484145
ghidra,42470,1650,385,30,77693,Java,8,0.694580078125
mkcert,42457,1899,52,14,82833,Go,10,0.709480122324159
build-web-application-with-golang,42296,4052,757,0,4817,Go,10,0.6127946127946128
github-cheat-sheet,42282,3434,129,0,80510,none,1,0.7142857142857143
awesome-wechat-weapp,41970,2539,275,0,83716,none,1,0
retrofit,41955,4747,843,0,9924,Java,8,0.9414873537183843
design-patterns-for-humans,41786,2392,49,0,77541,none,1,0.94
100-Days-Of-ML-Code,41739,1889,6,0,4294,none,1,0
leetcode-master,41684,1362,1854,0,76116,Shell,5,0.30601092896174864
project-layout,41612,2188,74,0,84459,Makefile,25,0.3627450980392157
AdminLTE,42890,3542,1408,72,27504,Astro,26,0.970556552962298
gogs,42863,3493,1609,78,6318,Go,10,0.8320382546323969
Projects,42850,3716,19,0,85485,none,1,0.4507042253521127
bat,42832,1964,1159,39,77779,Rust,13,0.8376
gpt-engineer,42736,130,109,8,79126,Python,2,0.9134615384615384
parcel,42665,2221,2189,29,16777,JavaScript,3,0.8725928807624975
ChatGPT-Next-Web,42664,179,377,45,75852,TypeScript,0,0.9897342995169082
jest,42633,3557,5216,195,78736,TypeScript,0,0.9493400879882682
drawio-desktop,42533,2294,18,114,81943,JavaScript,3,0.8680033416875522
babel,42521,3265,5374,366,76887,TypeScript,0,0.9244118332168647
DeepFaceLab,42333,1920,32,2,81279,Python,2,0.5989425981873112
build-web-application-with-golang,42296,4052,757,0,4821,Go,10,0.6127946127946128
github-cheat-sheet,42282,3434,129,0,80514,none,1,0.7142857142857143
react,42112,1922,330,0,84446,JavaScript,3,0.9947643979057592
awesome-wechat-weapp,41970,2539,275,0,83720,none,1,0
retrofit,41955,4747,843,0,9928,Java,8,0.9414873537183843
design-patterns-for-humans,41786,2392,49,0,77545,none,1,0.94
100-Days-Of-ML-Code,41739,1889,6,0,4298,none,1,0
project-layout,41612,2188,74,0,84463,Makefile,25,0.3627450980392157
rustlings,41556,2913,742,38,76963,Rust,13,0.7915057915057915
x64dbg,41524,3069,635,3,84367,C++,4,0.7620263942103023
openpilot,41473,2477,7834,52,76594,Python,2,0.9051126516464472
hyper,41441,2623,2989,88,83235,TypeScript,0,0.77052289352479
yolov5,41334,1206,1991,10,76314,Python,2,0.9798881351898132
yarn,41261,2786,1652,150,28214,JavaScript,3,0.7177829099307159
marktext,41254,2124,936,36,76966,JavaScript,3,0.6189926951172626
git-flight-rules,41243,3332,219,0,15673,none,1,0.75
trackerslist,41159,2691,1,0,82294,none,1,0.9796954314720813
llama,41102,204,26,0,76881,Python,2,0.5689102564102564
pixijs,40832,3879,2832,206,75675,TypeScript,0,0.9686843612755395
github-cheat-sheet,42282,3434,129,0,80519,none,1,0.7142857142857143
react,42112,1922,330,0,84451,JavaScript,3,0.9947643979057592
awesome-wechat-weapp,41970,2539,275,0,83725,none,1,0
retrofit,41955,4747,843,0,9933,Java,8,0.9414873537183843
design-patterns-for-humans,41786,2392,49,0,77550,none,1,0.94
100-Days-Of-ML-Code,41739,1889,6,0,4303,none,1,0
leetcode-master,41684,1362,1854,0,76125,Shell,5,0.30601092896174864
project-layout,41612,2188,74,0,84468,Makefile,25,0.3627450980392157
rustlings,41556,2913,742,38,76968,Rust,13,0.7915057915057915
